"Case Number","Severity","Opened Date","Case Owner"
"209032","Sev-2: High","4/3/2017","Eric Thomas"
"209046","Sev-1: Mission Critical","4/4/2017","Eric Thomas"
"209087","Sev-2: High","4/4/2017","Eric Thomas"
"209159","Sev-2: High","4/5/2017","Eric Thomas"
"209168","Sev-1: Mission Critical","4/5/2017","Eric Thomas"
"209173","Sev-2: High","4/5/2017","Eric Thomas"
"209180","Sev-2: High","4/5/2017","Eric Thomas"
"209269","Sev-1: Mission Critical","4/7/2017","Eric Thomas"
"209302","Sev-2: High","4/7/2017","Eric Thomas"
"209380","Sev-2: High","4/10/2017","Eric Thomas"
"209414","Sev-2: High","4/11/2017","Eric Thomas"
"209433","Sev-2: High","4/11/2017","Eric Thomas"
"209441","Sev-2: High","4/11/2017","Eric Thomas"
"209504","Sev-2: High","4/12/2017","Eric Thomas"
"209597","Sev-2: High","4/15/2017","Eric Thomas"
"209796","Sev-1: Mission Critical","4/19/2017","Eric Thomas"
"209877","Sev-2: High","4/20/2017","Eric Thomas"
"209908","Sev-1: Mission Critical","4/21/2017","Eric Thomas"
"210121","Sev-2: High","4/26/2017","Eric Thomas"
"210167","Sev-2: High","4/27/2017","Eric Thomas"
"210169","Sev-2: High","4/27/2017","Eric Thomas"
"208997","Sev-2: High","4/3/2017","Miriam Rios"
"209007","Sev-2: High","4/3/2017","Miriam Rios"
"209016","Sev-2: High","4/3/2017","Miriam Rios"
"209036","Sev-2: High","4/3/2017","Miriam Rios"
"209043","Sev-2: High","4/3/2017","Miriam Rios"
"209059","Sev-2: High","4/4/2017","Miriam Rios"
"209068","Sev-2: High","4/4/2017","Miriam Rios"
"209071","Sev-2: High","4/4/2017","Miriam Rios"
"209136","Sev-2: High","4/5/2017","Miriam Rios"
"209137","Sev-2: High","4/5/2017","Miriam Rios"
"209138","Sev-2: High","4/5/2017","Miriam Rios"
"209153","Sev-2: High","4/5/2017","Miriam Rios"
"209178","Sev-2: High","4/5/2017","Miriam Rios"
"209182","Sev-2: High","4/5/2017","Miriam Rios"
"209329","Sev-2: High","4/10/2017","Miriam Rios"
"209331","Sev-2: High","4/10/2017","Miriam Rios"
"209343","Sev-2: High","4/10/2017","Miriam Rios"
"209383","Sev-2: High","4/11/2017","Miriam Rios"
"209389","Sev-2: High","4/11/2017","Miriam Rios"
"209417","Sev-2: High","4/11/2017","Miriam Rios"
"209425","Sev-2: High","4/11/2017","Miriam Rios"
"209427","Sev-2: High","4/11/2017","Miriam Rios"
"209455","Sev-2: High","4/12/2017","Miriam Rios"
"209496","Sev-2: High","4/12/2017","Miriam Rios"
"209558","Sev-2: High","4/13/2017","Miriam Rios"
"209617","Sev-2: High","4/17/2017","Miriam Rios"
"209619","Sev-2: High","4/17/2017","Miriam Rios"
"209640","Sev-2: High","4/17/2017","Miriam Rios"
"209643","Sev-2: High","4/17/2017","Miriam Rios"
"209649","Sev-2: High","4/17/2017","Miriam Rios"
"209652","Sev-2: High","4/17/2017","Miriam Rios"
"209663","Sev-1: Mission Critical","4/17/2017","Miriam Rios"
"209666","Sev-2: High","4/18/2017","Miriam Rios"
"209673","Sev-2: High","4/18/2017","Miriam Rios"
"209697","Sev-2: High","4/18/2017","Miriam Rios"
"209702","Sev-1: Mission Critical","4/18/2017","Miriam Rios"
"209711","Sev-2: High","4/18/2017","Miriam Rios"
"209715","Sev-2: High","4/18/2017","Miriam Rios"
"209736","Sev-2: High","4/19/2017","Miriam Rios"
"209738","Sev-2: High","4/19/2017","Miriam Rios"
"209744","Sev-2: High","4/19/2017","Miriam Rios"
"209748","Sev-2: High","4/19/2017","Miriam Rios"
"209764","Sev-2: High","4/19/2017","Miriam Rios"
"209800","Sev-2: High","4/20/2017","Miriam Rios"
"209804","Sev-2: High","4/20/2017","Miriam Rios"
"209812","Sev-2: High","4/20/2017","Miriam Rios"
"209813","Sev-2: High","4/20/2017","Miriam Rios"
"209822","Sev-2: High","4/20/2017","Miriam Rios"
"209826","Sev-2: High","4/20/2017","Miriam Rios"
"209829","Sev-2: High","4/20/2017","Miriam Rios"
"209879","Sev-2: High","4/20/2017","Miriam Rios"
"209881","Sev-2: High","4/20/2017","Miriam Rios"
"209896","Sev-2: High","4/21/2017","Miriam Rios"
"209897","Sev-2: High","4/21/2017","Miriam Rios"
"209898","Sev-2: High","4/21/2017","Miriam Rios"
"209901","Sev-2: High","4/21/2017","Miriam Rios"
"209909","Sev-2: High","4/21/2017","Miriam Rios"
"209918","Sev-2: High","4/21/2017","Miriam Rios"
"210044","Sev-1: Mission Critical","4/25/2017","Miriam Rios"
"210070","Sev-2: High","4/26/2017","Miriam Rios"
"210100","Sev-2: High","4/26/2017","Miriam Rios"
"210118","Sev-2: High","4/26/2017","Miriam Rios"
"210129","Sev-2: High","4/27/2017","Miriam Rios"
"210135","Sev-2: High","4/27/2017","Miriam Rios"
"210143","Sev-2: High","4/27/2017","Miriam Rios"
"210149","Sev-2: High","4/27/2017","Miriam Rios"
"210155","Sev-2: High","4/27/2017","Miriam Rios"
"210157","Sev-2: High","4/27/2017","Miriam Rios"
"208991","Sev-2: High","4/3/2017","Sean Yates"
"209001","Sev-2: High","4/3/2017","Sean Yates"
"209019","Sev-2: High","4/3/2017","Sean Yates"
"209078","Sev-2: High","4/4/2017","Sean Yates"
"209088","Sev-1: Mission Critical","4/4/2017","Sean Yates"
"209117","Sev-1: Mission Critical","4/4/2017","Sean Yates"
"209120","Sev-2: High","4/4/2017","Sean Yates"
"209124","Sev-2: High","4/4/2017","Sean Yates"
